vx,vy,vz,v
1.98114,-0.589932,1.42003,6.28943
0.294935,-0.194597,2.1848,4.89822
-0.554906,-1.21192,0.067274,1.7812
1.12578,3.38335,-0.0344578,12.7156
2.09856,2.65386,-0.46853,11.6665
-0.966119,-2.01373,1.47359,7.15998
0.785621,0.761335,-1.61371,3.80089
-0.161192,1.31821,0.937604,2.64277
1.54209,0.292832,0.760131,3.04159
-0.763138,-2.43321,1.03787,7.5801
-0.978108,0.00312101,0.683135,1.42338
0.931781,-0.854474,-0.638494,2.00602
1.30629,-0.95609,0.454423,2.82701
-1.00017,-0.727857,0.915341,2.36797
-0.483498,2.94405,1.01344,9.92826
0.536596,-0.335139,0.0383107,0.401721
1.57897,-1.47097,-0.666472,5.10109
0.833067,-2.88429,0.609138,9.38415
-2.14107,-1.39059,-0.888789,7.30788
-1.91946,-1.82278,-0.406905,7.17242
-1.51241,1.14875,0.664388,4.04842
2.32704,-0.452858,0.768355,6.21056
-1.03287,1.29614,-0.15437,2.77064
0.583203,-1.33888,0.530795,2.41446
-0.0703796,2.26273,0.421799,5.30283
-2.4094,1.81888,-0.885757,9.89812
-1.55391,-2.16213,0.0463147,7.09159
4.18855,-0.00165307,2.29207,22.7976
0.560968,-1.15851,0.506566,1.91343
-0.279476,-0.0346983,-0.500692,0.330004
2.33644,-0.38198,0.250158,5.66742
0.505694,-0.317682,1.34973,2.17842
1.99165,0.0724435,1.97071,7.8556
-0.795044,-1.00394,1.25119,3.20545
-1.72395,-0.483009,1.15346,4.53579
0.153827,-0.833173,-0.203314,0.759176
0.523115,-3.29275,0.646009,11.5332
-0.915388,1.96763,1.26346,6.30583
1.5976,0.0673795,-2.04132,6.72382
0.0648723,-0.937112,-1.82299,4.20569
-3.2146,0.884499,0.07647,11.1219
-1.39242,-0.631581,0.98732,3.31254
-2.09864,3.58355,0.0495881,17.2486
1.03445,-0.795745,-2.51425,8.02476
-0.4238,1.32916,-1.16334,3.29963
0.360284,0.0307685,1.432,2.18138
0.328524,1.57142,0.968076,3.51446
-2.40533,-2.21584,3.24364,21.2168
1.75039,0.436918,0.785625,3.87197
-0.341928,-0.186488,-0.979404,1.11093
-1.79118,-0.343559,0.500625,3.577
-0.685646,0.234434,-0.59046,0.873712
-0.96449,-0.7084,0.317525,1.53289
-0.323946,-0.177964,-0.911,0.966533
-0.213377,-2.21011,-1.40058,6.89175
-1.62225,-2.27554,1.19852,9.24623
-1.12437,-0.429423,0.768353,2.03898
-2.13861,0.44534,-0.309239,4.86761
0.370005,-1.14678,-1.01671,2.48572
1.20065,-1.01339,0.545486,2.76607
-0.604704,0.0702825,-0.409808,0.538549
1.4659,-1.0884,0.333927,3.44498
2.0787,-0.666427,-1.08982,5.95283
-0.988889,0.611589,1.39269,3.29151
-1.46605,0.104107,-1.70008,5.05043
0.794232,-1.2194,0.728441,2.64837
0.608648,0.927581,-0.169497,1.25959
-1.29534,-0.664201,-0.669427,2.5672
-2.17721,1.36436,-0.447541,6.80203
-1.72024,-2.5677,3.63226,22.7456
0.290106,-0.27378,1.01686,1.19313
-0.799977,-0.788121,-1.40342,3.2307
1.05823,-1.2106,0.110564,2.59762
1.34095,0.248897,-0.599488,2.21947
-0.768057,2.4563,0.424502,6.80351
0.577292,0.508093,0.806138,1.24128
-1.31686,0.776887,0.861391,3.07966
0.325362,-0.0987707,0.0825142,0.122425
0.866413,0.143203,-0.36037,0.901045
-0.897014,-0.582679,-1.76178,4.24801
2.06685,0.135995,-1.0806,5.45807
1.68176,0.0406289,-0.198411,2.86933
3.02883,-0.293073,-0.266967,9.331
-0.874292,-0.407999,-0.514265,1.19532
-0.0625662,-1.08852,-2.0334,5.32351
0.73766,2.04537,-1.53472,7.08301
-0.523023,1.72932,2.40592,9.05257
-2.21639,-0.295253,-1.17133,6.37158
1.18579,0.0632724,-0.864149,2.15686
-0.668895,-0.563729,0.860696,1.50601
-2.34578,0.908079,0.569789,6.65195
0.119961,-0.883938,-2.45899,6.84236
1.29685,0.9416,-0.963983,3.4977
-0.666789,-1.6324,0.859201,3.84756
-0.581291,1.6783,0.83669,3.85464
1.29206,2.19388,-0.624489,6.87253
0.759431,-0.192028,0.782154,1.22537
-0.668449,-0.85409,0.60117,1.5377
-2.78182,-0.235795,-1.41628,9.79996
0.490254,0.108018,1.90477,3.88018
1.78594,-0.775132,1.8554,7.23292
-3.39934,0.712072,-0.435757,12.2524
-0.323666,0.793633,0.74503,1.28968
0.839926,-1.3598,-3.14726,12.4598
1.62857,1.50622,0.74694,5.47885
-0.402433,2.56629,-0.61902,7.13097
-0.628383,-1.31392,0.942814,3.01015
1.37869,2.19113,-1.5246,9.02623
-0.788819,2.41237,-0.672718,6.8943
1.47999,0.603764,-2.43569,8.48747
2.11543,0.0522186,-1.01741,5.51289
-0.656486,-0.0247348,-2.63596,7.37987
-0.152825,-1.05361,2.09996,5.54329
-3.00325,0.252762,-3.28517,19.8757
-0.0801795,-2.02943,-1.16684,5.48655
0.96022,0.937886,0.244557,1.86146
1.92268,-0.21591,1.77046,6.87783
1.34023,-1.95488,2.74143,13.1332
1.92913,-0.75251,-2.02449,8.38637
-3.0215,2.32045,-0.2812,14.593
1.21735,-0.427075,-0.687957,2.13761
-2.68649,-0.508441,-1.72548,10.453
1.77546,0.120939,-0.0372212,3.16826
0.62059,0.860015,0.228418,1.17693
-0.559878,-1.0186,2.11366,5.81857
-0.968257,-1.62981,1.03146,4.65772
1.50793,-1.50296,-0.396685,4.6901
1.51007,-1.21819,0.393004,3.91875
1.0438,0.434454,2.93665,9.90217
-0.883928,-2.38189,-1.3641,8.31547
1.2362,-0.47096,1.28376,3.39805
0.273843,-0.759235,-0.568257,0.974343
0.178474,0.930446,-2.80851,8.7853
0.625275,0.074101,0.796253,1.03048
0.324918,-0.342449,-0.508663,0.481581
0.253627,3.29572,-1.65058,13.6505
-0.457191,2.43276,-1.38547,8.04688
-0.137506,0.216659,-1.58925,2.59158
-0.170751,-1.94728,0.65363,4.24828
-0.323451,1.00134,0.0864827,1.11477
2.43342,2.31074,0.824332,11.9406
2.5756,-0.0898374,2.0132,10.6947
0.261672,-1.36511,-1.17359,3.30931
0.164729,-0.468819,0.936219,1.12343
-1.65751,-0.561586,-0.072851,3.06801
-0.883417,-1.87802,0.299595,4.39715
-0.222142,0.801793,-1.25118,2.25768
1.36301,-2.06221,-0.0859881,6.11791
0.653436,-0.0662202,1.51058,2.71322
-2.27462,1.53158,-0.700998,8.01104
1.49647,-1.8052,-2.3764,11.1455
-1.19596,-1.15564,1.70114,5.65971
0.994435,0.0134623,-1.13357,2.27406
-0.531455,-1.20994,-1.65793,4.49515
1.78229,0.343858,-0.235579,3.35029
-1.52006,1.50554,2.62445,11.465
-0.0456521,1.33231,-0.524695,2.05244
1.14874,-1.23971,-0.658134,3.28963
-0.338807,-0.171291,-3.57891,12.9527
-0.244285,1.65697,-0.914802,3.64208
-1.24389,-2.89303,-1.46799,12.0719
0.332987,1.34597,-0.882459,2.70124
1.58471,-0.348646,-1.92906,6.35414
3.00421,-0.157685,-2.45192,15.062
-1.27594,0.310532,-0.448463,1.92557
1.78665,1.7628,-0.899532,7.10876
0.68993,0.63897,-0.947456,1.78196
-1.69583,0.967658,-0.392277,3.96608
-1.76116,-0.694745,0.893564,4.38283
0.447546,-0.47092,2.34482,5.92024
2.02597,1.24801,2.23227,10.6451
1.54874,0.142192,-1.49829,4.66368
-0.840944,2.07117,0.0573658,5.00024
-1.33629,-1.36657,1.60372,6.22509
1.76052,3.09996,1.05632,13.825
-1.61278,1.52783,-0.525387,5.21136
-0.243549,-0.312357,-2.24256,5.18595
0.890515,0.222038,2.19673,5.66794
-0.377566,0.721389,-2.29788,5.94322
0.711369,-3.27833,-0.482379,11.4862
-1.1309,-0.129986,0.687734,1.76881
2.0511,-0.707066,-0.24441,4.7667
0.136972,0.968891,-2.9382,9.59052
-2.34803,0.860061,-0.0520675,6.25564
-0.563406,0.155292,-0.864888,1.08957
-0.650345,-0.187807,0.605008,0.824254
0.370825,2.82312,1.20305,9.55485
0.143486,2.83298,2.00714,12.075
1.11494,3.18312,2.20036,16.2169
-0.405564,1.25646,-0.0355265,1.74445
-2.16221,2.52053,-1.72625,14.0081
2.60882,0.811222,0.755673,8.03507
-1.19557,-0.0439483,0.278503,1.50888
-0.164904,2.53808,0.202583,6.51006
-1.64281,1.40923,-0.300053,4.77478
0.835402,-4.06385,-2.31833,22.5875
-1.7207,0.23105,-0.281205,3.09325
0.447172,-1.35524,0.136295,2.05521
-0.996953,1.60773,0.540034,3.87033
-1.12944,1.1471,-0.0656154,2.59578
1.12929,-1.39996,-0.337657,3.34918
0.47168,0.397471,1.00892,1.39838
1.38089,1.84223,-1.35269,7.13044
1.71978,1.72507,1.04156,7.01836
-0.595408,3.97221,3.08108,25.626
-2.19753,0.689433,2.02985,9.42476
-0.485999,-1.46673,-0.0469938,2.38969
1.08326,-0.730206,-0.132142,1.72411
-0.430637,-2.23369,0.516452,5.44153
1.65454,-0.16675,-0.855008,3.49634
1.14712,-0.723144,-1.67645,4.64931
-1.53303,2.17033,-0.160173,7.08616
1.29451,-0.780709,-1.94506,6.06851
0.528251,0.401758,0.892335,1.23672
0.296978,-1.83233,-1.11214,4.68246
-2.03706,-3.64334,-0.604357,17.7888
0.470025,-0.907811,-1.3672,2.91429
-3.51703,0.455879,-1.46098,14.7118
-2.33463,0.204078,-2.51829,11.8339
2.51044,-0.858932,0.150069,7.06261
-2.67602,-0.15566,2.75602,14.781
-0.279695,-0.2215,1.83145,3.48151
-1.34466,-2.88033,1.82873,13.4487
-0.173014,-1.09632,0.187867,1.26714
0.0655805,1.41341,0.490806,2.24291
-0.851451,-0.633059,-2.3008,6.41943
0.868951,-0.891811,-1.67852,4.36784
2.7946,0.702403,0.542853,8.59784
-1.60281,1.17847,0.747988,4.51727
-0.499164,0.890722,-1.25235,2.61094
1.99977,-1.74611,-0.650892,7.47166
0.327687,1.20196,0.00129057,1.55208
0.0990216,-2.18427,2.4812,10.9372
-2.58505,2.06831,-0.644245,11.3755
-1.15318,-0.266313,-0.752718,1.96734
-0.886209,0.0747525,0.854102,1.52044
-0.0193005,1.38401,-0.230037,1.96878
0.759215,-2.44322,3.38877,18.0295
-1.45781,1.07841,0.0575853,3.2915
-1.03733,-0.525251,0.260407,1.41975
-1.59573,-1.62346,1.5823,7.68562
1.52136,-1.61862,0.994927,5.92432
0.732693,1.5497,0.144708,2.95935
0.578503,0.755069,2.54015,7.35715
1.87004,-0.671234,0.559669,4.26085
-2.02059,1.32866,-1.89996,9.45794
1.58798,1.59561,2.16238,9.74352
0.702675,2.65565,0.811648,8.20503
0.819497,-0.962599,0.062808,1.60212
-1.18228,-0.739202,-1.66115,4.70363
0.724142,0.378875,-0.354891,0.793875
0.305944,-0.57454,-1.58032,2.9211
0.320308,-1.97118,0.351903,4.112
2.0779,-1.72273,-1.33168,9.05883
-2.14065,0.638228,0.856484,5.7233
0.25172,-2.15844,-0.835938,5.421
-2.93469,-0.819965,0.988285,10.2615
-1.06852,1.63555,0.28932,3.90046
-0.301008,0.342376,-3.11405,9.90512
0.0273186,-1.94749,2.27589,8.97315
-0.265114,0.94168,-1.83836,4.33662
-0.52602,-1.23302,3.14857,11.7105
-1.95051,-0.114198,-0.605355,4.184
0.936133,0.563324,-2.00568,5.21644
-0.0900965,2.06027,0.807906,4.90552
0.936166,0.804827,-1.13428,2.81075
1.87408,3.08026,-0.858761,13.7376
0.889365,-1.47994,1.00461,3.99043
-0.511864,2.88318,-1.20197,10.0195
-2.16325,-2.00534,1.77564,11.8539
-1.81289,-0.840969,-1.23161,5.51066
1.15936,1.73047,-3.3511,15.5685
-1.22091,0.668378,2.51945,8.28499
-1.21096,0.869906,0.247285,2.28431
1.49262,-1.32936,-0.918524,4.8388
-0.249186,0.407402,1.58418,2.73771
1.84408,0.111797,-1.5669,5.86827
-0.23717,0.230431,0.202027,0.150163
-1.32682,1.55439,3.07555,13.6356
-0.653155,-1.02668,-1.26435,3.07926
1.65951,2.92654,3.08819,20.8555
1.84721,2.46862,-0.315332,9.60573
-1.16009,-1.55643,-2.63185,10.6949
0.616271,-0.998594,-0.266453,1.44798
-1.80399,1.086,1.24139,5.97485
0.871139,-1.63771,0.232411,3.49499
-2.34394,-1.13458,0.24321,6.84047
-2.46312,-0.700837,-1.46667,8.70923
0.103823,-0.463786,0.513817,0.489884
-0.210961,-2.70163,-0.0303656,7.34424
1.5344,1.22724,1.013,4.88669
-1.00946,-2.85371,-0.90032,9.97322
1.01042,0.713206,-0.588751,1.87623
-1.96202,0.552474,-0.234754,4.20984
3.65399,-2.17698,-0.723095,18.6138
0.184516,-0.344846,0.535931,0.440187
0.756,-0.299412,-1.14625,1.97507
0.639114,-0.976353,0.834118,2.05748
0.461213,-1.5826,2.79463,10.5273
1.97595,0.751595,2.84174,12.5448
0.137275,-0.354459,0.564806,0.463492
1.79199,0.431808,-0.935327,4.27251
-1.95431,-2.23724,-1.61778,11.4418
-1.09489,-1.60125,0.0102341,3.76288
0.871565,-0.278654,-1.99592,4.82097
-2.12878,0.520029,-2.16916,9.50739
0.446901,-1.03343,2.33891,6.73821
0.36381,3.02746,1.49414,11.5303
1.8763,2.50769,0.395374,9.96533
0.179585,0.0397528,-1.71546,2.97664
1.31594,1.30899,-0.435509,3.63484
0.836293,-0.112061,-1.95604,4.53802
-0.525427,-1.09487,0.159887,1.50037
1.59999,0.54775,0.561867,3.17571
0.290717,0.00690766,0.182338,0.117811
1.40497,0.831234,-0.771248,3.2597
-3.29212,-2.44701,0.645931,17.2431
-1.99566,0.588002,2.08444,8.6733
0.768427,2.6371,-0.011871,7.54494
-0.140828,-0.709855,-0.416975,0.697596
-1.21257,0.667431,0.58236,2.25493
2.07394,-1.39536,-0.38514,6.39657
0.52083,-0.916504,0.570498,1.43671
1.31342,-1.35763,1.36289,5.42573
-1.1894,-1.72019,-2.37935,10.035
-0.799222,-0.23875,0.160012,0.721361
0.244519,-3.49713,0.680352,12.7526
1.59119,1.36625,-0.247259,4.45965
1.84053,2.90268,-0.729748,12.3457
-5.87357,-1.15028,-2.41038,41.6319
-0.679815,1.55611,-0.522505,3.15663
-0.570669,-0.069904,0.287895,0.413433
-0.841925,0.970833,0.201668,1.69202
1.15913,0.0462676,0.0466437,1.3479
2.32194,1.42781,1.02829,8.48741
-0.919269,0.27216,-0.127605,0.935409
1.33722,0.628732,1.38589,4.10416
-2.41977,0.972205,1.09396,7.9972
-1.51794,-0.0481458,1.32955,4.07417
-1.9993,-1.75011,-1.10886,8.28966
-1.37365,-1.18204,-0.395755,3.44077
1.41354,-3.84439,0.062509,16.7814
0.327825,-1.36731,0.378815,2.12052
-1.17662,-2.63547,-1.41531,10.3333
-0.449175,1.22568,-1.02175,2.74803
-0.380058,0.510153,-0.113658,0.417618
-1.49268,1.60635,-1.06883,5.95084
-0.0963914,-0.83824,0.888558,1.50147
-0.84704,-1.93794,0.774884,5.07354
-0.534895,-1.87189,-0.406012,3.95493
-0.271194,0.305293,1.58425,2.67661
-2.20386,-0.707406,0.393986,5.51264
-1.58684,0.575904,-2.88772,11.1886
-1.94731,-0.14209,0.0951523,3.82127
-2.43279,2.79208,1.47765,15.8976
1.14614,-2.77076,-1.78284,12.1692
2.17608,3.3702,1.34352,17.8986
1.85912,1.53588,-1.83592,9.18588
1.48631,-1.22258,-0.384919,3.85199
-0.512811,0.845746,1.11963,2.23183
-0.561554,-2.78381,0.887103,8.85187
0.364948,0.0623722,1.6621,2.89966
0.561122,-0.195295,-1.4942,2.58562
0.916253,-2.27232,1.74159,9.03607
0.188188,2.20203,-0.0966319,4.8937
