,time,diff_v
1,1e-05,1.893245020792277e-06
2,2e-05,1.8954331648386902e-06
3,3.0000000000000004e-05,1.89635158678122e-06
4,4e-05,1.9003390240204295e-06
5,5e-05,1.902869998885145e-06
6,6.000000000000001e-05,1.9051248876637854e-06
7,7.000000000000001e-05,1.9102560138332354e-06
8,8e-05,1.9120089501690264e-06
9,9e-05,1.922286742332597e-06
10,0.0001,1.9306769901456437e-06
11,0.00011,1.936685678032174e-06
12,0.00012000000000000002,1.946130467989042e-06
13,0.00013000000000000002,1.9578029614987184e-06
14,0.00014000000000000001,1.9695004152977455e-06
15,0.00015000000000000001,1.9830673267665165e-06
16,0.00016,1.994904332519973e-06
17,0.00017,2.0123424243247236e-06
18,0.00018,2.02699291424295e-06
19,0.00019,2.044905286957645e-06
20,0.0002,2.066109066693527e-06
21,0.00021,2.0873709411990515e-06
22,0.00022,2.1116986962266465e-06
23,0.00023,2.139612260475303e-06
24,0.00024000000000000003,2.166829560842499e-06
25,0.00025,2.1968991239346725e-06
26,0.00026000000000000003,2.22922840539636e-06
27,0.00027,2.266422615083635e-06
28,0.00028000000000000003,2.306649516412839e-06
29,0.00029,2.345977467920067e-06
30,0.00030000000000000003,2.388081902135473e-06
31,0.00031,2.4351315835224657e-06
32,0.00032,2.4858210196034814e-06
33,0.00033000000000000005,2.538135080161224e-06
34,0.00034,2.590767708557334e-06
35,0.00035000000000000005,2.6493059604206105e-06
36,0.00036,2.7111019282401495e-06
37,0.00037000000000000005,2.777572490764103e-06
38,0.00038,2.846476774004716e-06
39,0.00039000000000000005,2.9186758459595613e-06
40,0.0004,2.99804619976728e-06
41,0.00041000000000000005,3.0783006466027514e-06
42,0.00042,3.163578851106196e-06
43,0.00043000000000000004,3.252383061031124e-06
44,0.00044,3.348338966141385e-06
45,0.00045000000000000004,3.4451905604500296e-06
46,0.00046,3.549115107588023e-06
47,0.00047000000000000004,3.65783882382147e-06
48,0.00048000000000000007,3.771470435647447e-06
49,0.0004900000000000001,3.89391076838545e-06
50,0.0005,4.0203533775342485e-06
51,0.00051,4.1518892406975655e-06
52,0.0005200000000000001,4.288288991940132e-06
53,0.0005300000000000001,4.430732250397756e-06
54,0.00054,4.583647247210536e-06
55,0.00055,4.7369566260324995e-06
56,0.0005600000000000001,4.899594696479548e-06
57,0.0005700000000000001,5.0698523725203476e-06
58,0.00058,5.24708671389905e-06
59,0.00059,5.431550365346943e-06
60,0.0006000000000000001,5.6236569183591604e-06
61,0.0006100000000000001,5.8244782251357285e-06
62,0.00062,6.027906594422898e-06
63,0.00063,6.247200666650516e-06
64,0.00064,6.468617623198913e-06
65,0.0006500000000000001,6.7066249426599195e-06
66,0.0006600000000000001,6.942619533789221e-06
67,0.00067,7.194675283704515e-06
68,0.00068,7.453032673726256e-06
69,0.0006900000000000001,7.725904395122656e-06
70,0.0007000000000000001,8.000096718623238e-06
71,0.00071,8.293910479324943e-06
72,0.00072,8.586636478651112e-06
73,0.0007300000000000001,8.893337807164153e-06
74,0.0007400000000000001,9.212835177777786e-06
75,0.00075,9.545491079328441e-06
76,0.00076,9.886832670348435e-06
77,0.0007700000000000001,1.0233623596480746e-05
78,0.0007800000000000001,1.0600393035567644e-05
79,0.00079,1.0971908241258188e-05
80,0.0008,1.1351194179643405e-05
81,0.0008100000000000001,1.1764852353539282e-05
82,0.0008200000000000001,1.2167685787820119e-05
83,0.0008300000000000001,1.2592830160579865e-05
84,0.00084,1.3042374493621651e-05
85,0.0008500000000000001,1.3490131556812078e-05
86,0.0008600000000000001,1.3960439945369196e-05
87,0.0008700000000000001,1.4445184678798551e-05
88,0.00088,1.4941121747071763e-05
89,0.0008900000000000001,1.546273923582393e-05
90,0.0009000000000000001,1.5997046355745735e-05
91,0.0009100000000000001,1.654071336093525e-05
92,0.00092,1.7117489367867114e-05
93,0.00093,1.770308493517811e-05
94,0.0009400000000000001,1.8305170151315138e-05
95,0.0009500000000000001,1.8923719313937517e-05
96,0.0009600000000000001,1.956885854068736e-05
97,0.00097,2.022406295805241e-05
98,0.0009800000000000002,2.0903202318596453e-05
99,0.00099,2.1607827820228915e-05
100,0.001,2.2331389491672842e-05
101,0.00101,2.3098179451798637e-05
102,0.00102,2.384881610189456e-05
103,0.00103,2.4648755586298907e-05
104,0.0010400000000000001,2.5462592385655897e-05
105,0.0010500000000000002,2.630774389575056e-05
106,0.0010600000000000002,2.7172364111548343e-05
107,0.00107,2.8066881348427503e-05
108,0.00108,2.8992982932967983e-05
109,0.00109,2.9941875231659046e-05
110,0.0011,3.091869651496796e-05
111,0.00111,3.192150175096435e-05
112,0.0011200000000000001,3.2960699510555555e-05
113,0.0011300000000000001,3.4021924991042845e-05
114,0.0011400000000000002,3.511094694357146e-05
115,0.0011500000000000002,3.6220295662823884e-05
116,0.00116,3.738432116177005e-05
117,0.00117,3.857943898734407e-05
118,0.00118,3.980563037474928e-05
119,0.00119,4.1054629093015674e-05
120,0.0012000000000000001,4.23451508969551e-05
121,0.0012100000000000001,4.366978525028593e-05
122,0.0012200000000000002,4.502892975244465e-05
123,0.0012300000000000002,4.6427875174257806e-05
124,0.00124,4.7880676113823276e-05
125,0.00125,4.93667716673285e-05
126,0.00126,5.088950304053131e-05
127,0.00127,5.244963138774757e-05
128,0.00128,5.405090815392233e-05
129,0.0012900000000000001,5.569613411024641e-05
130,0.0013000000000000002,5.7395333262792934e-05
131,0.0013100000000000002,5.9137672242848735e-05
132,0.0013200000000000002,6.0913228004113444e-05
133,0.00133,6.274887710340122e-05
134,0.00134,6.462332069254535e-05
