P,V,T
155.185745239258,4096,101.009635925293
155.194854736328,4096,101.007743835449
155.209869384766,4096,101.005241394043
155.230010986328,4096,101.00138092041
155.255920410156,4096,100.996589660645
155.287536621094,4096,100.991050720215
155.324508666992,4096,100.984321594238
155.367156982422,4096,100.976539611816
155.415405273438,4096,100.967948913574
155.468948364258,4096,100.957893371582
155.528671264648,4096,100.947288513184
155.593612670898,4096,100.935516357422
155.664306640625,4096,100.922752380371
155.74089050293,4096,100.909019470215
155.823043823242,4096,100.89427947998
155.910659790039,4096,100.878326416016
156.004257202148,4096,100.861572265625
156.103378295898,4096,100.843719482422
156.208297729492,4096,100.824760437012
156.31884765625,4096,100.804786682129
156.435302734375,4096,100.783912658691
156.55744934082,4096,100.761878967285
156.685302734375,4096,100.738830566406
156.819030761719,4096,100.714714050293
156.958465576172,4096,100.689430236816
157.104034423828,4096,100.663185119629
157.255355834961,4096,100.635887145996
157.412841796875,4096,100.607627868652
157.576065063477,4096,100.578163146973
157.745346069336,4096,100.54759979248
157.920867919922,4096,100.51619720459
158.102066040039,4096,100.483337402344
158.289352416992,4096,100.449371337891
158.482711791992,4096,100.414520263672
158.682464599609,4096,100.378425598145
158.888061523438,4096,100.341194152832
159.100036621094,4096,100.302787780762
159.318374633789,4096,100.263549804688
159.542907714844,4096,100.223205566406
159.773834228516,4096,100.181495666504
160.010833740234,4096,100.138450622559
160.254455566406,4096,100.094444274902
160.504302978516,4096,100.049293518066
160.760726928711,4096,100.002906799316
161.02360534668,4096,99.9552612304688
161.293121337891,4096,99.9066390991211
161.569000244141,4096,99.8565902709961
161.85173034668,4096,99.8055114746094
162.141098022461,4096,99.7530822753906
162.436935424805,4096,99.6993942260742
162.739791870117,4096,99.6446304321289
163.049224853516,4096,99.5885314941406
163.365753173828,4096,99.5313949584961
163.688751220703,4096,99.4725723266602
164.018936157227,4096,99.412841796875
164.355926513672,4096,99.3517456054688
164.699676513672,4096,99.2890014648438
165.05126953125,4096,99.2255859375
165.409362792969,4096,99.1603393554688
165.774963378906,4096,99.0941390991211
166.147735595703,4096,99.0264587402344
166.527252197266,4096,98.9573440551758
166.914413452148,4096,98.8869323730469
167.30891418457,4096,98.8154525756836
167.710723876953,4096,98.7422790527344
168.11979675293,4096,98.6678695678711
168.536651611328,4096,98.5921630859375
168.96044921875,4096,98.5148315429688
169.392150878906,4096,98.4364242553711
169.831237792969,4096,98.3563766479492
170.278106689453,4096,98.2748413085938
170.732788085938,4096,98.1921463012695
171.195159912109,4096,98.107795715332
171.665008544922,4096,98.022087097168
172.142883300781,4096,97.9350051879883
172.628387451172,4096,97.8463439941406
173.121948242188,4096,97.7563552856445
173.623382568359,4096,97.6648864746094
174.132415771484,4096,97.57177734375
174.649719238281,4096,97.477294921875
175.174591064453,4096,97.3811264038086
175.707824707031,4096,97.2836380004883
176.249130249023,4096,97.1847915649414
176.798095703125,4096,97.0841979980469
177.35514831543,4096,96.9821166992188
177.920257568359,4096,96.8785171508789
178.49365234375,4096,96.7734985351562
179.075317382812,4096,96.6669616699219
179.665130615234,4096,96.5587844848633
180.262939453125,4096,96.4488906860352
180.869445800781,4096,96.337890625
181.483947753906,4096,96.2251281738281
182.106430053711,4096,96.1106033325195
182.737426757812,4096,95.9946594238281
183.376678466797,4096,95.8772277832031
184.024368286133,4096,95.7583847045898
184.679809570312,4096,95.6376571655273
185.343719482422,4096,95.515495300293
186.015823364258,4096,95.391975402832
186.696197509766,4096,95.266716003418
187.384643554688,4096,95.1399459838867
188.081558227539,4096,95.0118637084961
188.7861328125,4096,94.8817749023438
189.499237060547,4096,94.7505264282227
190.220336914062,4096,94.6174697875977
190.949478149414,4096,94.4831008911133
191.6865234375,4096,94.3468856811523
192.431716918945,4096,94.2093276977539
193.185272216797,4096,94.0705642700195
193.945861816406,4096,93.9298095703125
194.714981079102,4096,93.7879409790039
195.491455078125,4096,93.6443557739258
196.276153564453,4096,93.49951171875
197.067840576172,4096,93.3530578613281
197.86750793457,4096,93.205451965332
198.674041748047,4096,93.056037902832
199.488220214844,4096,92.9054260253906
200.3095703125,4096,92.7532653808594
201.137710571289,4096,92.6001052856445
201.97314453125,4096,92.4452514648438
202.815765380859,4096,92.2892532348633
203.664825439453,4096,92.1318588256836
204.520812988281,4096,91.973274230957
205.383010864258,4096,91.8134078979492
206.252227783203,4096,91.6522216796875
207.127532958984,4096,91.489875793457
208.008682250977,4096,91.3262100219727
208.896667480469,4096,91.1616592407227
209.789703369141,4096,90.9958114624023
210.688507080078,4096,90.8290023803711
211.592864990234,4096,90.6611404418945
212.502502441406,4096,90.492073059082
213.417144775391,4096,90.3221054077148
214.337463378906,4096,90.1513748168945
215.261199951172,4096,89.9794616699219
216.190460205078,4096,89.8069839477539
217.123443603516,4096,89.633186340332
218.061019897461,4096,89.4591064453125
219.001739501953,4096,89.284049987793
219.946563720703,4096,89.1081314086914
220.894958496094,4096,88.9315490722656
221.846435546875,4096,88.7546691894531
222.801208496094,4096,88.5768661499023
223.758056640625,4096,88.3987350463867
224.717315673828,4096,88.2200546264648
225.678344726562,4096,88.0409164428711
226.642135620117,4096,87.8615112304688
227.607025146484,4096,87.6818313598633
228.572662353516,4096,87.5016098022461
229.540679931641,4096,87.3213119506836
230.509414672852,4096,87.1407775878906
231.478225708008,4096,86.9602661132812
232.446899414062,4096,86.7795944213867
233.416610717773,4096,86.5990905761719
234.385070800781,4096,86.4182510375977
235.353729248047,4096,86.2377700805664
236.321807861328,4096,86.0573043823242
237.2880859375,4096,85.8772201538086
238.25309753418,4096,85.6973571777344
239.216278076172,4096,85.5178451538086
240.177185058594,4096,85.3387222290039
241.135589599609,4096,85.1600189208984
242.090911865234,4096,84.981803894043
243.043395996094,4096,84.8043746948242
243.992248535156,4096,84.6274032592773
244.936828613281,4096,84.4508590698242
245.878067016602,4096,84.2754821777344
246.814880371094,4096,84.1007537841797
247.747253417969,4096,83.9269790649414
248.674835205078,4096,83.754035949707
249.596527099609,4096,83.5820541381836
250.512664794922,4096,83.411247253418
251.423370361328,4096,83.2414779663086
252.328460693359,4096,83.0729522705078
253.225555419922,4096,82.9055557250977
254.115478515625,4096,82.7396697998047
254.999450683594,4096,82.5747604370117
255.876586914062,4096,82.4115524291992
256.745483398438,4096,82.249626159668
257.605499267578,4096,82.0892715454102
258.457153320312,4096,81.9305801391602
259.300415039062,4096,81.7734527587891
260.135955810547,4096,81.6180267333984
260.961730957031,4096,81.4641799926758
261.777954101562,4096,81.3121871948242
262.584289550781,4096,81.1621322631836
263.381469726562,4096,81.0137634277344
264.168884277344,4096,80.867546081543
264.945678710938,4096,80.7230834960938
265.711059570312,4096,80.5807189941406
266.465270996094,4096,80.4404296875
267.208801269531,4096,80.3023300170898
267.941345214844,4096,80.1662139892578
268.660949707031,4096,80.032470703125
269.370513916016,4096,79.9009628295898
270.068115234375,4096,79.7714920043945
270.753051757812,4096,79.6444854736328
271.425842285156,4096,79.5199279785156
272.08544921875,4096,79.3975830078125
272.732849121094,4096,79.277702331543
273.368011474609,4096,79.1603164672852
273.989776611328,4096,79.0454483032227
274.597595214844,4096,78.9329605102539
275.192291259766,4096,78.8230514526367
275.773681640625,4096,78.7158355712891
276.342163085938,4096,78.6110229492188
276.895446777344,4096,78.509033203125
277.435974121094,4096,78.4095916748047
277.961242675781,4096,78.3128128051758
278.472534179688,4096,78.2184295654297
278.97021484375,4096,78.1270065307617
279.453826904297,4096,78.0383682250977
279.922424316406,4096,77.9523239135742
280.378082275391,4096,77.8689422607422
280.818664550781,4096,77.788444519043
281.245025634766,4096,77.7107315063477
281.656555175781,4096,77.6356887817383
282.053558349609,4096,77.5634994506836
282.435882568359,4096,77.4941177368164
282.802673339844,4096,77.4274063110352
283.155212402344,4096,77.363410949707
283.493194580078,4096,77.3022689819336
283.816986083984,4096,77.2442245483398
284.124725341797,4096,77.1885681152344
284.418487548828,4096,77.1358795166016
284.698638916016,4096,77.0859527587891
284.963836669922,4096,77.0387802124023
285.214385986328,4096,76.9942855834961
285.450439453125,4096,76.9526062011719
285.671752929688,4096,76.9135208129883
285.878997802734,4096,76.8772354125977
286.072540283203,4096,76.843879699707
286.251617431641,4096,76.8129196166992
286.417175292969,4096,76.784797668457
286.567077636719,4096,76.759162902832
286.704711914062,4096,76.7363204956055
286.827789306641,4096,76.7159805297852
286.937866210938,4096,76.6983032226562
287.0341796875,4096,76.6831970214844
287.117279052734,4096,76.6706619262695
287.186584472656,4096,76.66064453125
287.243316650391,4096,76.652946472168
287.287048339844,4096,76.6477737426758
287.31787109375,4096,76.6451187133789
287.335876464844,4096,76.6447067260742
287.342010498047,4096,76.6467056274414
287.335571289062,4096,76.6511535644531
287.317626953125,4096,76.6577301025391
287.28662109375,4096,76.6663589477539
287.244445800781,4096,76.6775436401367
287.19091796875,4096,76.6907730102539
287.126556396484,4096,76.7061233520508
287.051361083984,4096,76.7237167358398
286.964630126953,4096,76.7432327270508
286.865539550781,4096,76.7647171020508
286.758148193359,4096,76.7882919311523
286.639373779297,4096,76.8135452270508
286.510986328125,4096,76.840950012207
286.373413085938,4096,76.8701705932617
286.226104736328,4096,76.9011001586914
286.06982421875,4096,76.9337005615234
285.904418945312,4096,76.9680252075195
285.729827880859,4096,77.0041732788086
285.548126220703,4096,77.0417861938477
285.356811523438,4096,77.0810623168945
285.156829833984,4096,77.1216812133789
284.948699951172,4096,77.1638412475586
284.734161376953,4096,77.207649230957
284.511535644531,4096,77.2523345947266
284.283020019531,4096,77.2986297607422
284.047576904297,4096,77.3463516235352
283.804840087891,4096,77.3949203491211
283.556549072266,4096,77.4450607299805
283.302612304688,4096,77.4961013793945
283.041748046875,4096,77.5483016967773
282.774932861328,4096,77.6014022827148
282.503753662109,4096,77.6557159423828
282.227386474609,4096,77.7107772827148
281.945983886719,4096,77.7667236328125
281.660064697266,4096,77.823616027832
281.369049072266,4096,77.8811264038086
281.074157714844,4096,77.9396743774414
280.775512695312,4096,77.9987182617188
280.474060058594,4096,78.0584487915039
280.168426513672,4096,78.1188125610352
279.860198974609,4096,78.1797103881836
279.548248291016,4096,78.2413101196289
279.233947753906,4096,78.3031768798828
278.918151855469,4096,78.3655395507812
278.599975585938,4096,78.4284133911133
278.279571533203,4096,78.4912490844727
277.957946777344,4096,78.5547866821289
277.633331298828,4096,78.6182708740234
277.308044433594,4096,78.6821975708008
