t,Potential,Kinetic,Total,Virial
160000,697.678,7187.35,7885.03,138273
161000,558.795,7326.02,7884.81,134092
162000,395.008,7490.08,7885.09,129417
163000,502.489,7382.49,7884.98,132168
164000,479.432,7405.64,7885.08,131880
165000,728.966,7156.11,7885.07,138816
166000,723.029,7161.98,7885.01,139031
167000,652.774,7232.11,7884.88,137039
168000,377.642,7507.26,7884.9,129394
169000,372.112,7512.93,7885.04,128816
170000,444.38,7440.59,7884.97,130452
171000,397.405,7487.62,7885.03,129247
172000,469.303,7415.7,7885.01,131433
173000,635.497,7249.52,7885.01,136137
174000,578.454,7306.47,7884.92,134828
175000,556.224,7328.83,7885.05,134331
176000,587.917,7297.03,7884.95,135267
177000,640.051,7244.97,7885.03,136627
178000,552.31,7332.6,7884.91,134145
179000,550.529,7334.5,7885.04,133883
180000,681.116,7203.93,7885.04,137428
181000,737.007,7147.93,7884.94,139248
182000,698.179,7186.82,7885,138670
183000,805.82,7079.19,7885.01,141951
184000,794.784,7090.21,7884.99,141929
185000,759.162,7125.76,7884.92,140925
186000,744.947,7140.09,7885.04,140379
187000,803.456,7081.5,7884.96,141621
188000,694.848,7190.08,7884.93,138472
189000,809.46,7075.6,7885.06,141240
190000,777.887,7107.05,7884.94,140411
191000,648.874,7236.01,7884.88,136925
192000,537.84,7347.09,7884.93,133828
193000,411.024,7473.89,7884.91,130300
194000,344.724,7540.27,7884.99,128501
195000,477.731,7407.35,7885.08,132252
196000,629.769,7255.21,7884.98,136584
197000,634.22,7250.72,7884.94,136739
198000,569.913,7315.05,7884.96,134993
199000,623.264,7261.75,7885.01,136403
200000,647.189,7237.73,7884.93,136952
201000,513.855,7371.09,7884.94,133402
202000,541.244,7343.73,7884.98,134120
203000,529.147,7355.8,7884.95,133918
204000,559.203,7325.76,7884.97,134655
205000,459.462,7425.43,7884.89,131944
206000,460.718,7424.31,7885.02,131951
207000,491.147,7393.8,7884.94,132857
208000,549.352,7335.69,7885.05,134515
209000,645.191,7239.81,7885.01,137278
210000,777.478,7107.54,7885.02,140968
211000,695.392,7189.5,7884.89,138910
212000,695.776,7189.25,7885.03,138957
213000,714.256,7170.71,7884.97,139569
214000,790.136,7094.89,7885.03,141518
215000,793.34,7091.58,7884.92,141424
216000,669.001,7215.87,7884.88,137883
217000,554.549,7330.41,7884.96,134640
218000,458.575,7426.36,7884.94,131914
219000,447.343,7437.64,7884.98,131367
220000,475.589,7409.44,7885.03,132166
221000,731.126,7154,7885.13,139337
222000,846.366,7038.58,7884.94,142905
223000,736.537,7148.41,7884.94,140286
224000,602.623,7282.19,7884.81,136585
225000,398.253,7486.72,7884.97,130916
226000,528.968,7356.1,7885.06,134048
227000,618.065,7266.92,7884.98,136148
228000,638.262,7246.68,7884.93,136410
229000,626.413,7258.55,7884.97,135825
230000,615.252,7269.69,7884.94,135395
231000,527.9,7357.02,7884.94,133125
232000,473.471,7411.49,7884.96,131848
233000,594.636,7290.39,7885.03,135109
234000,721.53,7163.45,7884.99,138298
235000,406.741,7478.06,7884.8,129913
236000,380.358,7504.72,7885.08,129250
237000,595.042,7290.02,7885.06,135298
238000,709.88,7175.11,7884.99,138592
239000,588.434,7296.36,7884.79,135188
240000,249.538,7635.38,7884.93,126085
241000,387.761,7497.37,7885.13,129884
242000,649.882,7235.16,7885.04,137284
243000,679.84,7205.16,7885.01,138553
244000,676.365,7208.6,7884.96,138695
245000,624.659,7260.28,7884.94,137296
246000,629.231,7255.78,7885.02,137213
247000,616.479,7268.47,7884.95,136616
248000,594.91,7290.08,7884.99,135804
249000,648.135,7236.84,7884.97,136955
250000,538.319,7346.57,7884.9,133854
251000,455.603,7429.42,7885.01,131683
252000,614.84,7270.2,7885.04,135890
253000,501.108,7383.76,7884.87,132745
254000,409.73,7475.21,7884.94,130001
255000,354.262,7530.78,7885.04,128331
256000,492.269,7392.74,7885.01,131826
257000,415.241,7469.73,7884.97,130014
258000,495.234,7389.84,7885.06,132547
259000,645.908,7239.06,7884.97,136883
260000,520.272,7364.67,7884.94,133805
261000,519.204,7365.78,7884.99,133825
262000,513.975,7371.02,7884.99,133797
263000,569.765,7315.22,7884.98,135356
264000,502.512,7382.39,7884.9,133439
265000,392.247,7492.76,7885,130205
266000,472.2,7412.79,7884.99,132006
267000,454.773,7430.19,7884.96,131415
268000,412.331,7472.59,7884.92,130238
269000,351.487,7533.54,7885.03,128702
270000,612.652,7272.47,7885.12,135662
271000,745.922,7139.04,7884.95,139267
272000,608.791,7276.11,7884.9,135646
273000,614.817,7270.23,7885.05,135859
274000,760.766,7124.22,7884.98,139792
275000,733.244,7151.72,7884.96,139026
276000,581.212,7303.54,7884.75,134702
277000,267.511,7617.45,7884.96,126322
278000,513.436,7371.74,7885.17,133078
279000,699.506,7185.42,7884.93,138471
280000,742.108,7142.96,7885.06,139890
281000,793.567,7091.36,7884.93,141215
282000,557.275,7327.56,7884.83,134776
283000,448.802,7436.17,7884.97,131778
284000,563.275,7321.79,7885.06,134883
285000,593.88,7291.07,7884.95,135708
286000,554.152,7330.79,7884.94,134433
287000,515.867,7369.11,7884.98,133342
288000,522.929,7362.06,7884.98,133651
289000,535.326,7349.63,7884.96,134011
290000,571.724,7313.35,7885.08,134874
291000,547.618,7337.24,7884.85,134054
292000,431.372,7453.67,7885.04,130821
293000,641.879,7243.19,7885.07,136229
294000,580.353,7304.51,7884.86,134559
295000,552.188,7332.9,7885.09,133869
296000,728.936,7156.03,7884.96,138543
297000,612.839,7272.07,7884.9,135373
298000,518.551,7366.43,7884.98,132852
299000,610.995,7274.1,7885.1,135629
300000,835.035,7050.01,7885.05,142010
301000,872.004,7012.99,7884.99,143232
302000,717.287,7167.53,7884.81,138952
303000,461.273,7423.66,7884.94,131854
304000,517.106,7367.9,7885,132989
