,P,V,T
0,0.292081743478775,1280.00012207031,0.885727615356445
1,0.251018345355988,1280.00012207031,0.8929357242584229
2,0.246355146169662,1280.00012207031,0.8930282306671139
3,0.277803063392639,1280.00012207031,0.886073977947235
4,0.32458502054214505,1280.00012207031,0.87639066696167
5,0.365171790122986,1280.00012207031,0.868304522037506
6,0.39163991808891296,1280.00012207031,0.863187820911407
7,0.40440633893013,1280.00012207031,0.860799582004547
8,0.40765741467475897,1280.00012207031,0.860305042266846
9,0.413698196411133,1280.00012207031,0.859134228229523
10,0.4292706251144411,1280.00012207031,0.8558382701873779
11,0.440872967243195,1280.00012207031,0.853297622203827
12,0.43399718403816206,1280.00012207031,0.8545548629760741
13,0.4124859571456911,1280.00012207031,0.8587284398078922
14,0.38966503739357,1280.00012207031,0.8630503726005551
15,0.376888453960419,1280.00012207031,0.865170271396637
16,0.373699098825455,1280.00012207031,0.865216882228851
17,0.36324813961982705,1280.00012207031,0.866876990795135
18,0.337918072938919,1280.00012207031,0.8718657803535458
19,0.31672605872154197,1280.00012207031,0.87609484910965
20,0.320126622915268,1280.00012207031,0.875203282833099
21,0.34404805302619895,1280.00012207031,0.8701924395561221
22,0.373659282922745,1280.00012207031,0.8642318558692929
23,0.39913120865821794,1280.00012207031,0.859226853847504
24,0.410892456769943,1280.00012207031,0.8571014714241031
25,0.40374872088432295,1280.00012207031,0.858875007629395
26,0.38581705093383795,1280.00012207031,0.8627254676818851
27,0.36681920289993303,1280.00012207031,0.866525859832764
28,0.34712886810302696,1280.00012207031,0.870293409824371
29,0.32517808675765997,1280.00012207031,0.8745150279998779
30,0.307034105062485,1280.00012207031,0.8780577492713929
31,0.300307333469391,1280.00012207031,0.879450352191925
32,0.30591270327568104,1280.00012207031,0.878735811710358
33,0.327399730682373,1280.00012207031,0.8752215218544009
34,0.37220427393913297,1280.00012207031,0.8671228599548341
35,0.43650054931640603,1280.00012207031,0.8549106431007389
36,0.49958717823028603,1280.00012207031,0.842637212276459
37,0.533535838127136,1280.00012207031,0.8360073280334469
38,0.524291932582855,1280.00012207031,0.8379328560829159
39,0.481596946716309,1280.00012207031,0.846428127288818
40,0.42757526040077204,1280.00012207031,0.857105464935303
41,0.385792523622513,1280.00012207031,0.8652918052673341
42,0.370388835668564,1280.00012207031,0.86820384979248
43,0.376384526491165,1280.00012207031,0.8670625996589659
44,0.391567975282669,1280.00012207031,0.8645352435111999
45,0.410508245229721,1280.00012207031,0.8616583657264709
46,0.43010488152503995,1280.00012207031,0.858936281204224
47,0.44279065728187605,1280.00012207031,0.8578476619720459
48,0.44047099351882896,1280.00012207031,0.859962017536163
49,0.42030268907546997,1280.00012207031,0.8658505988121029
50,0.389320015907288,1280.00012207031,0.8741481018066409
51,0.367977917194366,1280.00012207031,0.8808007550239559
52,0.382879465818405,1280.00012207031,0.880308122634888
53,0.44188851118087796,1280.00012207031,0.87090799331665
54,0.522015154361725,1280.00012207031,0.8571964812278751
55,0.585253894329071,1280.00012207031,0.846833736896515
56,0.611720860004425,1280.00012207031,0.8436011981964108
57,0.611854910850525,1280.00012207031,0.845001668930054
58,0.608115494251251,1280.00012207031,0.8462602806091309
59,0.6140804290771479,1280.00012207031,0.844668538570404
60,0.619210243225098,1280.00012207031,0.842816622257233
61,0.606730341911316,1280.00012207031,0.8446309876441959
62,0.5837019085884089,1280.00012207031,0.8486525726318359
63,0.565611720085144,1280.00012207031,0.8515544247627259
64,0.554994165897369,1280.00012207031,0.852887363433838
65,0.548273682594299,1280.00012207031,0.8534599852561949
66,0.5421348810195921,1280.00012207031,0.853950412273407
67,0.5293515324592589,1280.00012207031,0.8559606385231021
68,0.5081826448440551,1280.00012207031,0.859840304851532
69,0.487310796976089,1280.00012207031,0.863601417541504
70,0.470722168684006,1280.00012207031,0.866255493164062
71,0.456884354352951,1280.00012207031,0.868056507110596
72,0.439912617206573,1280.00012207031,0.870281727313995
73,0.4176926612854,1280.00012207031,0.873576135635376
74,0.39978057146072404,1280.00012207031,0.876079590320587
75,0.3979307115077971,1280.00012207031,0.8754377675056461
