P,V,T
-0.325317,1706.67,2
-0.325316,1706.67,2
-0.325316,1706.67,2
-0.325316,1706.67,2
-0.325316,1706.67,2
-0.325316,1706.67,2
-0.325315,1706.67,2
-0.325315,1706.67,2
-0.325315,1706.67,2
-0.325315,1706.67,2
-0.325314,1706.67,2
-0.325313,1706.67,2
-0.325313,1706.67,2
-0.325313,1706.67,2
-0.325312,1706.67,2
-0.325312,1706.67,2
-0.325312,1706.67,2
-0.325312,1706.67,2
-0.325311,1706.67,2
-0.32531,1706.67,2
-0.32531,1706.67,2
-0.325309,1706.67,2
-0.325308,1706.67,2
-0.325309,1706.67,2
-0.325309,1706.67,2
-0.325308,1706.67,2
-0.325307,1706.67,2
-0.325306,1706.67,2
-0.325307,1706.67,2
-0.325306,1706.67,2
-0.325306,1706.67,2
-0.325305,1706.67,2
-0.325305,1706.67,2
-0.325305,1706.67,2
-0.325304,1706.67,2
-0.325303,1706.67,2
-0.325303,1706.67,2
-0.325302,1706.67,2
-0.325302,1706.67,2
-0.325301,1706.67,2
-0.325301,1706.67,2
-0.325301,1706.67,2
-0.3253,1706.67,2
-0.3253,1706.67,2
-0.325299,1706.67,2
-0.3253,1706.67,2
-0.325298,1706.67,2
-0.325298,1706.67,2
-0.325297,1706.67,2
-0.325297,1706.67,2
-0.325296,1706.67,2
-0.325296,1706.67,2
-0.325295,1706.67,2
-0.325294,1706.67,2
-0.325293,1706.67,2
-0.325293,1706.67,2
-0.325293,1706.67,2
-0.325292,1706.67,2
-0.325292,1706.67,2
-0.32529,1706.67,2
-0.325291,1706.67,2
-0.32529,1706.67,2
-0.32529,1706.67,2
-0.325288,1706.67,2
-0.325288,1706.67,2
-0.325287,1706.67,2
-0.325288,1706.67,2
-0.325286,1706.67,2
-0.325285,1706.67,2
-0.325285,1706.67,2
-0.325284,1706.67,2
-0.325283,1706.67,2
-0.325283,1706.67,2
-0.325283,1706.67,2
-0.325282,1706.67,2
-0.325281,1706.67,2
-0.32528,1706.67,2
-0.325279,1706.67,2
-0.32528,1706.67,2
-0.325279,1706.67,2
-0.325278,1706.67,2
-0.325277,1706.67,2
-0.325276,1706.67,2
-0.325276,1706.67,2
-0.325275,1706.67,2
-0.325275,1706.67,2
-0.325273,1706.67,2
-0.325273,1706.67,2
-0.325272,1706.67,2
-0.325271,1706.67,2
-0.32527,1706.67,2
-0.325269,1706.67,2
-0.32527,1706.67,2
-0.325268,1706.67,2
-0.325268,1706.67,2
-0.325267,1706.67,2
-0.325267,1706.67,2
-0.325266,1706.67,2
-0.325265,1706.67,2
-0.325264,1706.67,2
-0.325263,1706.67,2
-0.325262,1706.67,2
-0.325262,1706.67,2
-0.325261,1706.67,2
-0.32526,1706.67,2
-0.325259,1706.67,2
-0.325259,1706.67,2
-0.325257,1706.67,2
-0.325257,1706.67,2
-0.325256,1706.67,2
-0.325255,1706.67,2
-0.325255,1706.67,2
-0.325254,1706.67,2
-0.325253,1706.67,2
-0.325252,1706.67,2
-0.325252,1706.67,2
-0.325251,1706.67,2
-0.32525,1706.67,2
-0.325249,1706.67,2
-0.325248,1706.67,2
-0.325247,1706.67,2
-0.325245,1706.67,2
-0.325246,1706.67,2
-0.325244,1706.67,2
-0.325243,1706.67,2
-0.325242,1706.67,2
-0.325241,1706.67,2
-0.325241,1706.67,2
-0.32524,1706.67,2
-0.32524,1706.67,2
-0.325239,1706.67,2
-0.325238,1706.67,2
-0.325237,1706.67,2
-0.325235,1706.67,2
-0.325234,1706.67,2
-0.325233,1706.67,2
-0.325232,1706.67,2
