P,V,T
11.6279,731.429,1.99996
11.6281,731.429,1.99996
11.6283,731.429,1.99996
11.6285,731.429,1.99996
11.6287,731.429,1.99996
11.6289,731.429,1.99996
11.6291,731.429,1.99997
11.6293,731.429,1.99996
11.6295,731.429,1.99996
11.6297,731.429,1.99996
11.6299,731.429,1.99996
11.6301,731.429,1.99996
11.6303,731.429,1.99996
11.6305,731.429,1.99996
11.6307,731.429,1.99996
11.6308,731.429,1.99996
11.631,731.429,1.99996
11.6312,731.429,1.99996
11.6314,731.429,1.99996
11.6316,731.429,1.99996
11.6318,731.429,1.99996
11.632,731.429,1.99996
11.6322,731.429,1.99996
11.6324,731.429,1.99996
11.6326,731.429,1.99996
11.6328,731.429,1.99996
11.633,731.429,1.99996
11.6332,731.429,1.99996
11.6334,731.429,1.99996
11.6336,731.429,1.99996
11.6338,731.429,1.99996
11.634,731.429,1.99996
11.6342,731.429,1.99996
11.6344,731.429,1.99996
11.6346,731.429,1.99996
11.6348,731.429,1.99996
11.635,731.429,1.99996
11.6352,731.429,1.99996
11.6354,731.429,1.99996
11.6356,731.429,1.99996
11.6358,731.429,1.99996
11.636,731.429,1.99996
11.6362,731.429,1.99997
11.6364,731.429,1.99996
11.6366,731.429,1.99996
11.6368,731.429,1.99996
11.6369,731.429,1.99996
11.6371,731.429,1.99996
11.6373,731.429,1.99996
11.6375,731.429,1.99996
11.6377,731.429,1.99996
11.6379,731.429,1.99996
11.6381,731.429,1.99996
11.6383,731.429,1.99996
11.6385,731.429,1.99996
11.6387,731.429,1.99996
11.6389,731.429,1.99996
11.6391,731.429,1.99996
11.6393,731.429,1.99996
11.6395,731.429,1.99996
11.6396,731.429,1.99996
11.6398,731.429,1.99996
11.64,731.429,1.99996
11.6402,731.429,1.99996
11.6404,731.429,1.99996
11.6406,731.429,1.99996
11.6408,731.429,1.99996
11.641,731.429,1.99996
11.6412,731.429,1.99996
11.6413,731.429,1.99996
11.6415,731.429,1.99996
11.6417,731.429,1.99996
11.6419,731.429,1.99996
11.6421,731.429,1.99996
11.6423,731.429,1.99996
11.6425,731.429,1.99996
11.6427,731.429,1.99996
11.6429,731.429,1.99996
11.6431,731.429,1.99996
11.6433,731.429,1.99996
11.6434,731.429,1.99996
11.6436,731.429,1.99996
11.6438,731.429,1.99996
11.644,731.429,1.99996
11.6442,731.429,1.99996
11.6444,731.429,1.99996
11.6446,731.429,1.99996
11.6448,731.429,1.99996
11.645,731.429,1.99996
11.6452,731.429,1.99996
11.6453,731.429,1.99996
11.6455,731.429,1.99996
11.6457,731.429,1.99996
11.6459,731.429,1.99996
11.6461,731.429,1.99996
11.6463,731.429,1.99996
11.6465,731.429,1.99996
11.6467,731.429,1.99996
11.6469,731.429,1.99996
