vx,vy,vz,v
0.356253,0.247576,-1.35192,2.01591
0.314699,-0.122688,-1.49371,2.34524
-1.79069,-1.09327,-0.906335,5.22325
-1.63418,-1.04572,0.965789,4.69682
-0.181832,0.56927,0.851011,1.08135
-0.0858659,0.704636,2.44101,6.46243
1.78866,1.70472,-1.92035,9.79315
-1.11939,-1.14295,-3.76381,16.7256
-0.349317,-1.37789,-2.6007,8.78426
-1.32647,-0.993895,-1.62744,5.39593
-1.20117,-1.0257,-1.07968,3.66056
-1.50045,-0.290608,-0.570869,2.66169
1.16492,-1.01847,0.988432,3.37134
0.165045,-0.156222,1.54016,2.42375
-1.96314,0.208443,3.89553,19.0725
-1.17598,0.957483,-3.36798,13.643
-2.45783,2.2174,-0.75746,11.5315
-0.904387,1.67574,-0.523246,3.89982
-1.4748,0.424118,-0.556415,2.66451
-1.42944,1.13778,1.63931,6.02518
-1.18292,-0.294789,1.63271,4.15195
1.40753,-0.450114,-0.0297477,2.18463
-0.848423,-0.030564,3.52553,13.1501
-1.04821,1.54215,-2.73818,10.9746
-1.08936,0.475164,-2.74352,8.93939
-0.66863,2.36516,-0.854738,6.77163
-1.70458,0.611787,0.0300373,3.28078
-0.890519,1.37013,0.307313,2.76473
0.165807,1.34417,2.12123,6.33389
-1.60638,1.44996,2.21007,9.56723
-1.08324,0.361859,2.43549,7.23597
-1.07269,2.27268,-3.1275,16.097
0.889022,0.617518,-2.12558,5.68978
-0.892865,0.468207,-1.71527,3.95857
0.820897,1.8916,0.753076,4.81915
1.17092,0.509064,0.553203,1.93623
-2.2307,2.3192,1.6306,13.0136
-2.1122,1.46135,1.93715,10.3495
-0.0377342,0.112363,0.462252,0.227726
-1.05718,3.60359,-0.515946,14.3697
-0.413574,2.51849,-0.90971,7.34142
1.72665,-1.89647,1.80973,9.85302
0.488908,2.6674,-1.09786,8.55936
-1.06522,3.66144,-0.536733,14.8289
-0.155077,2.48439,1.57043,8.66251
-0.689591,1.26261,-0.465671,2.28656
1.01311,0.563606,1.19216,2.7653
-1.59374,-1.70128,-4.01131,21.525
-0.220016,-3.05885,-2.7949,17.2164
-0.0533935,-2.80877,-2.8261,15.8789
-3.38052,2.14709,-1.38286,17.9503
-0.223008,-3.39838,-0.0264454,11.5994
-0.535182,-3.42401,2.15027,16.6339
0.704787,-2.40779,3.17517,16.3759
-1.072,0.0802901,4.06611,17.6889
-0.203655,-2.81125,-2.94086,16.5933
0.173232,-1.09122,-0.993999,2.20881
-0.713238,-3.03792,-1.28184,11.3808
-1.03982,-1.97813,-1.58592,7.50936
-0.894919,-0.974204,2.13956,6.32768
0.220555,-2.46736,2.29036,11.3823
-1.33833,-2.98702,1.75224,13.7837
1.02771,0.234068,2.87343,9.36759
0.484467,0.433619,-2.80701,8.30203
-1.4273,-1.57153,-2.38832,10.2109
-0.990926,-1.84551,-1.47224,6.55535
