Particles,Step,Potential,Kitetic,Total
512,859,42.0313,2929.22,2971.25
512,864,41.7827,2929.47,2971.26
512,869,41.5348,2929.72,2971.25
512,874,41.2938,2929.96,2971.25
512,879,41.0513,2930.2,2971.25
512,884,40.8146,2930.44,2971.26
512,889,40.579,2930.67,2971.25
512,894,40.3474,2930.91,2971.25
512,899,40.1183,2931.13,2971.25
512,904,39.8914,2931.36,2971.25
512,909,39.6656,2931.58,2971.25
512,914,39.4436,2931.81,2971.25
512,919,39.2247,2932.03,2971.25
512,924,39.0082,2932.24,2971.25
512,929,38.7928,2932.46,2971.25
512,934,38.5802,2932.67,2971.25
512,939,38.371,2932.89,2971.26
512,944,38.1631,2933.09,2971.25
512,949,37.9582,2933.29,2971.25
512,954,37.7524,2933.5,2971.25
512,959,37.5529,2933.69,2971.25
512,964,37.353,2933.89,2971.24
512,969,37.1555,2934.09,2971.24
512,974,36.9614,2934.28,2971.24
512,979,36.7685,2934.48,2971.25
512,984,36.5789,2934.67,2971.25
512,989,36.3888,2934.86,2971.24
512,994,36.2024,2935.05,2971.25
512,999,36.0167,2935.23,2971.24
512,1004,35.8334,2935.41,2971.24
512,1009,35.6526,2935.59,2971.24
512,1014,35.4726,2935.77,2971.25
512,1019,35.2958,2935.96,2971.25
512,1024,35.1187,2936.13,2971.25
512,1029,34.9451,2936.3,2971.24
512,1034,34.7714,2936.47,2971.24
512,1039,34.6012,2936.64,2971.24
512,1044,34.4322,2936.82,2971.25
512,1049,34.2638,2936.98,2971.24
512,1054,34.0987,2937.14,2971.24
512,1059,33.9344,2937.31,2971.24
512,1064,33.7729,2937.47,2971.24
512,1069,33.6105,2937.63,2971.24
512,1074,33.4501,2937.79,2971.24
512,1079,33.2931,2937.95,2971.24
512,1084,33.1355,2938.11,2971.24
512,1089,32.9803,2938.26,2971.24
512,1094,32.827,2938.42,2971.25
512,1099,32.6742,2938.57,2971.24
512,1104,32.5233,2938.72,2971.24
512,1109,32.3742,2938.87,2971.24
512,1114,32.2257,2939.02,2971.24
512,1119,32.0796,2939.16,2971.24
512,1124,31.9331,2939.31,2971.24
512,1129,31.7891,2939.45,2971.24
512,1134,31.6466,2939.6,2971.25
512,1139,31.5046,2939.73,2971.24
512,1144,31.3638,2939.88,2971.25
512,1149,31.2245,2940.02,2971.24
512,1154,31.0868,2940.16,2971.24
512,1159,30.9495,2940.29,2971.24
512,1164,30.8152,2940.43,2971.25
512,1169,30.6803,2940.56,2971.24
512,1174,30.5473,2940.69,2971.24
512,1179,30.4156,2940.83,2971.25
512,1184,30.2847,2940.96,2971.24
512,1189,30.154,2941.09,2971.24
512,1194,30.0257,2941.22,2971.25
512,1199,29.8973,2941.34,2971.24
512,1204,29.7713,2941.47,2971.24
512,1209,29.6463,2941.6,2971.24
512,1214,29.5213,2941.72,2971.24
512,1219,29.3995,2941.84,2971.24
512,1224,29.276,2941.97,2971.24
512,1229,29.1552,2942.08,2971.24
512,1234,29.035,2942.21,2971.24
512,1239,28.9152,2942.33,2971.25
512,1244,28.797,2942.45,2971.25
512,1249,28.6793,2942.56,2971.24
512,1254,28.5631,2942.68,2971.24
