t,Potential,Kinetic,Total,Virial
14100,-20897.1,12127.8,-8769.33,290831
14200,-20843,12073.9,-8769.12,292326
14300,-20782.1,12012.8,-8769.34,293997
14400,-20801.8,12032,-8769.78,293502
14500,-20872.2,12102.4,-8769.79,291637
14600,-20906.7,12137.2,-8769.53,290720
14700,-20908.6,12139.1,-8769.45,290695
14800,-20883.5,12114.2,-8769.22,291399
14900,-20822.5,12053.3,-8769.22,292992
15000,-20811.8,12042.2,-8769.65,293170
15100,-20870,11977.4,-8892.63,291398
15200,-20928.7,12036.2,-8892.52,289496
15300,-20961.1,12068.7,-8892.44,288273
15400,-20976.7,12084.4,-8892.29,287582
15500,-20955.9,12063.8,-8892.13,287976
15600,-20917.2,12025.1,-8892.11,288995
15700,-20866.4,11974.3,-8892.04,290480
15800,-20822,11929.8,-8892.12,291919
15900,-20784,11891.9,-8892.08,293232
16000,-20749.3,11857.1,-8892.26,294362
16100,-20796.4,11903.5,-8892.89,293164
16200,-20953,12059.8,-8893.21,288926
16300,-21091.9,12199.2,-8892.7,285135
16400,-21076.8,12185,-8891.81,285546
16500,-20928.6,12037,-8891.52,289611
16600,-20831.1,11939,-8892.2,292350
16700,-20862.7,11970.1,-8892.59,291597
16800,-20895,12002.7,-8892.3,290723
16900,-20860,11967.9,-8892.03,291572
17000,-20817,11924.8,-8892.2,292612
17100,-20821.9,11929.5,-8892.41,292387
17200,-20838.4,11946.2,-8892.28,291895
17300,-20811.9,11919.8,-8892.08,292610
17400,-20752,11860.1,-8891.92,294243
17500,-20695.2,11803,-8892.24,295707
17600,-20742.4,11849.7,-8892.73,294343
17700,-20811.4,11918.9,-8892.48,292337
17800,-20829.6,11937.2,-8892.41,291660
17900,-20875.2,11982.7,-8892.6,290350
18000,-20915.4,12023,-8892.38,289264
18100,-20912.2,12020,-8892.29,289368
18200,-20921,12028.6,-8892.47,289181
18300,-20962.5,12070,-8892.52,288172
18400,-20972.1,12080,-8892.16,288078
18500,-20912.8,12020.8,-8891.95,289887
18600,-20843.2,11951.2,-8892.01,291995
18700,-20805.5,11913.3,-8892.26,293173
18800,-20820.3,11927.8,-8892.49,292817
18900,-20875.8,11983.3,-8892.57,291294
19000,-20909.4,12017.1,-8892.27,290385
19100,-20866.2,11974.3,-8891.93,291595
19200,-20792,11900,-8891.96,293680
19300,-20762.3,11870,-8892.34,294544
19400,-20806.5,11913.9,-8892.6,293352
19500,-20872.9,11980.3,-8892.64,291434
19600,-20947,12054.4,-8892.64,289224
19700,-21000.7,12108.2,-8892.46,287519
19800,-21030.4,12137.9,-8892.45,286450
19900,-21070.5,12178,-8892.46,285178
20000,-21082.6,12190.4,-8892.21,284767
20100,-21068.2,11782.1,-9286.13,285156
20200,-21059.1,11773,-9286.08,285459
20300,-21024.9,11739,-9285.95,286448
20400,-21008.5,11722.2,-9286.29,286991
20500,-21062.1,11775.7,-9286.47,285734
20600,-21083.1,11797,-9286.09,285366
20700,-21052.3,11766.2,-9286.04,286380
20800,-21039.4,11753.3,-9286.13,286910
20900,-21022,11736,-9286.05,287463
21000,-21018,11731.7,-9286.24,287559
21100,-21035.6,11749.3,-9286.26,286984
21200,-21078.2,11791.7,-9286.51,285700
21300,-21141.8,11855.5,-9286.35,283919
21400,-21113.3,11827.6,-9285.72,284663
21500,-20999.8,11714.1,-9285.66,287714
21600,-20953.1,11666.9,-9286.23,289022
21700,-20993,11706.7,-9286.39,288007
21800,-21015.9,11729.7,-9286.17,287377
21900,-21010.2,11724,-9286.17,287436
22000,-21043.4,11756.9,-9286.51,286431
22100,-21117,11830.5,-9286.43,284395
22200,-21136.3,11850.2,-9286.11,283850
22300,-21111.6,11825.5,-9286,284526
22400,-21098.2,11811.9,-9286.2,284875
22500,-21140.6,11854.1,-9286.5,283682
22600,-21211.3,11924.8,-9286.45,281695
22700,-21237.8,11951.7,-9286.11,280910
22800,-21189.8,11904,-9285.79,282186
22900,-21112.1,11826.3,-9285.83,284319
23000,-21067.5,11781.4,-9286.1,285579
23100,-21079,11792.7,-9286.28,285316
23200,-21082.2,11796.1,-9286.11,285209
23300,-21071,11784.8,-9286.2,285446
23400,-21080.8,11794.5,-9286.2,285118
23500,-21066.9,11780.9,-9286.06,285401
23600,-21052.5,11766.3,-9286.15,285730
23700,-21050.6,11764.5,-9286.16,285740
23800,-21064.8,11778.5,-9286.34,285327
23900,-21107.2,11820.8,-9286.31,284209
24000,-21104.4,11818.4,-9285.98,284310
24100,-21054,11768.1,-9285.91,285680
24200,-21031.1,11744.9,-9286.18,286305
24300,-21057.1,11770.7,-9286.35,285611
24400,-21091.3,11805,-9286.31,284708
24500,-21110.8,11824.6,-9286.2,284260
24600,-21098.5,11812.5,-9285.98,284728
24700,-21042.4,11756.6,-9285.83,286391
24800,-20977.7,11691.8,-9285.87,288253
24900,-20927,11641,-9285.96,289616
25000,-20907.2,11621,-9286.24,289961
25100,-20970.2,11736.1,-9234.04,287992
25200,-21075.2,11841.2,-9233.97,284911
25300,-21132.1,11898.4,-9233.65,283197
25400,-21129,11895.6,-9233.42,283203
25500,-21100.6,11867.2,-9233.44,283960
25600,-21097.1,11863.5,-9233.61,284070
25700,-21121,11887.4,-9233.64,283447
25800,-21120.6,11887.2,-9233.44,283450
25900,-21103.5,11869.9,-9233.49,283892
26000,-21092.3,11858.8,-9233.5,284143
26100,-21107.6,11873.9,-9233.79,283638
26200,-21178.9,11945,-9233.89,281683
26300,-21195.5,11962.2,-9233.31,281294
26400,-21095.2,11862.3,-9232.92,284154
26500,-21008.1,11774.8,-9233.38,286764
26600,-21022.8,11789.1,-9233.77,286624
26700,-21064.4,11830.7,-9233.67,285597
26800,-21064.6,11831.1,-9233.48,285498
26900,-21055.3,11821.7,-9233.53,285574
27000,-21067.3,11833.6,-9233.65,285089
27100,-21097.9,11864.1,-9233.73,284166
27200,-21131.5,11897.8,-9233.66,283241
27300,-21142.2,11908.7,-9233.54,282988
27400,-21135.2,11901.7,-9233.48,283236
27500,-21129.6,11896,-9233.58,283417
27600,-21144.8,11911.1,-9233.67,282987
27700,-21175.3,11941.6,-9233.72,282110
27800,-21198.6,11965,-9233.61,281432
27900,-21194.5,11961.1,-9233.41,281554
28000,-21139.2,11906.1,-9233.13,283111
28100,-21053.9,11820.7,-9233.17,285477
28200,-21013.8,11780.3,-9233.51,286599
28300,-21031.3,11797.6,-9233.68,286113
28400,-21063.8,11830.1,-9233.69,285179
28500,-21083.1,11849.5,-9233.57,284620
28600,-21070.7,11837.3,-9233.4,284940
28700,-21047.2,11813.7,-9233.51,285587
28800,-21062.6,11828.9,-9233.7,285239
28900,-21093.3,11859.6,-9233.66,284549
29000,-21101.8,11868.3,-9233.48,284528
29100,-21069.9,11836.6,-9233.31,285596
29200,-21030.3,11796.9,-9233.42,286754
29300,-21038.9,11805.2,-9233.76,286457
29400,-21120.9,11886.9,-9234.01,284125
29500,-21178.6,11945,-9233.56,282467
29600,-21131.8,11898.7,-9233.17,283645
29700,-21077.1,11843.7,-9233.4,285103
29800,-21087.1,11853.4,-9233.7,284869
29900,-21119.1,11885.5,-9233.64,284084
30000,-21111.5,11878.1,-9233.38,284421
30100,-21079.8,11519,-9560.8,285405
30200,-21065.5,11504.6,-9560.91,285857
30300,-21054.6,11493.7,-9560.83,286135
30400,-21026.6,11465.8,-9560.78,286784
30500,-21012.7,11451.7,-9560.99,286961
30600,-21065.2,11503.9,-9561.33,285275
30700,-21154,11592.7,-9561.38,282542
30800,-21254.4,11693,-9561.42,279517
30900,-21325.6,11764.6,-9561.08,277371
31000,-21323.5,11762.7,-9560.75,277331
31100,-21274.5,11713.9,-9560.53,278723
31200,-21187.9,11627.4,-9560.47,281218
31300,-21139.4,11578.5,-9560.91,282745
31400,-21162.4,11601.4,-9561.01,282385
31500,-21151.5,11590.8,-9560.72,282853
31600,-21113.1,11552.3,-9560.83,283936
31700,-21137.6,11576.4,-9561.19,283214
31800,-21221.1,11659.6,-9561.4,280797
31900,-21321.3,11760,-9561.33,277942
32000,-21371.5,11810.6,-9560.93,276564
32100,-21328.4,11768,-9560.47,277819
32200,-21235.9,11675.4,-9560.5,280431
32300,-21195.4,11634.5,-9560.92,281561
32400,-21235.6,11674.4,-9561.23,280380
