P,V,T
-1.63177,1166.67,2
-1.63176,1166.67,2
-1.63175,1166.67,2
-1.63174,1166.67,2
-1.63173,1166.67,2
-1.63171,1166.67,2
-1.6317,1166.67,2
-1.63169,1166.67,2
-1.63168,1166.67,2
-1.63167,1166.67,2
-1.63166,1166.67,2
-1.63164,1166.67,2
-1.63163,1166.67,2
-1.63162,1166.67,2
-1.63161,1166.67,2
-1.63159,1166.67,2
-1.63158,1166.67,2
-1.63157,1166.67,2
-1.63156,1166.67,2
-1.63154,1166.67,2
-1.63153,1166.67,2
-1.63152,1166.67,2
-1.6315,1166.67,2
-1.63149,1166.67,2
-1.63147,1166.67,2
-1.63146,1166.67,2
-1.63145,1166.67,2
-1.63143,1166.67,2
-1.63142,1166.67,2
-1.63141,1166.67,2
-1.63139,1166.67,2
-1.63137,1166.67,2
-1.63136,1166.67,2
-1.63134,1166.67,2
-1.63133,1166.67,2
-1.63131,1166.67,2
-1.6313,1166.67,2
-1.63128,1166.67,2
-1.63127,1166.67,2
-1.63125,1166.67,2
-1.63123,1166.67,2
-1.63122,1166.67,2
-1.6312,1166.67,2
-1.63119,1166.67,2
-1.63116,1166.67,2
-1.63115,1166.67,2
-1.63113,1166.67,2
-1.63112,1166.67,2
-1.6311,1166.67,2
-1.63108,1166.67,2
-1.63107,1166.67,2
-1.63105,1166.67,2
-1.63103,1166.67,2
-1.63101,1166.67,2
-1.63099,1166.67,2
-1.63098,1166.67,2
-1.63096,1166.67,2
-1.63094,1166.67,2
-1.63092,1166.67,2
-1.6309,1166.67,2
-1.63088,1166.67,2
-1.63086,1166.67,2
-1.63084,1166.67,2
-1.63083,1166.67,2
-1.63081,1166.67,2
-1.63079,1166.67,2
-1.63077,1166.67,2
-1.63075,1166.67,2
-1.63073,1166.67,2
-1.63071,1166.67,2
-1.63068,1166.67,2
-1.63067,1166.67,2
-1.63065,1166.67,2
-1.63063,1166.67,2
-1.6306,1166.67,2
-1.63058,1166.67,2
-1.63056,1166.67,2
-1.63054,1166.67,2
-1.63052,1166.67,2
-1.6305,1166.67,2
-1.63048,1166.67,2
-1.63046,1166.67,2
-1.63043,1166.67,2
-1.63041,1166.67,2
-1.63039,1166.67,2
-1.63037,1166.67,2
-1.63034,1166.67,2
-1.63032,1166.67,2
-1.6303,1166.67,2
-1.63028,1166.67,2
-1.63025,1166.67,2
-1.63023,1166.67,2
-1.63021,1166.67,2
-1.63018,1166.67,2
-1.63016,1166.67,2
-1.63014,1166.67,2
-1.63011,1166.67,2
-1.63009,1166.67,2
-1.63007,1166.67,2
-1.63004,1166.67,2
-1.63002,1166.67,2
-1.62999,1166.67,2
-1.62997,1166.67,2
-1.62994,1166.67,2
-1.62992,1166.67,2
-1.62989,1166.67,2
-1.62987,1166.67,2
-1.62984,1166.67,2
-1.62982,1166.67,2
-1.62979,1166.67,2
-1.62977,1166.67,2
-1.62974,1166.67,2
-1.62971,1166.67,2
-1.62969,1166.67,2
-1.62966,1166.67,2
-1.62964,1166.67,2
-1.62961,1166.67,2
-1.62958,1166.67,2
-1.62956,1166.67,2
-1.62953,1166.67,2
-1.6295,1166.67,2
-1.62948,1166.67,1.99999
-1.62945,1166.67,2
-1.62942,1166.67,2
-1.62939,1166.67,2
-1.62936,1166.67,2
-1.62933,1166.67,2
-1.62931,1166.67,2
-1.62928,1166.67,2
-1.62926,1166.67,1.99999
-1.62922,1166.67,2
-1.62919,1166.67,2
-1.62917,1166.67,2
-1.62914,1166.67,2
-1.62911,1166.67,2
-1.62908,1166.67,1.99999
-1.62905,1166.67,2
-1.62902,1166.67,2
-1.62899,1166.67,2
-1.62896,1166.67,2
-1.62893,1166.67,1.99999
-1.6289,1166.67,1.99999
-1.62887,1166.67,2
-1.62884,1166.67,2
-1.62881,1166.67,2
-1.62878,1166.67,2
-1.62875,1166.67,1.99999
-1.62872,1166.67,2
-1.62869,1166.67,2
-1.62866,1166.67,2
-1.62863,1166.67,2
-1.6286,1166.67,1.99999
-1.62856,1166.67,2
-1.62854,1166.67,1.99999
-1.6285,1166.67,2
-1.62847,1166.67,2
-1.62844,1166.67,1.99999
-1.6284,1166.67,2
-1.62837,1166.67,2
-1.62834,1166.67,1.99999
-1.62831,1166.67,2
-1.62828,1166.67,2
-1.62824,1166.67,1.99999
-1.62821,1166.67,1.99999
-1.62817,1166.67,2
-1.62814,1166.67,2
-1.62811,1166.67,1.99999
-1.62808,1166.67,2
-1.62805,1166.67,1.99999
-1.62801,1166.67,2
-1.62798,1166.67,2
-1.62794,1166.67,2
-1.62791,1166.67,2
-1.62788,1166.67,1.99999
-1.62784,1166.67,2
-1.62781,1166.67,2
-1.62777,1166.67,2
-1.62774,1166.67,1.99999
-1.6277,1166.67,1.99999
-1.62767,1166.67,2
-1.62763,1166.67,2
-1.6276,1166.67,1.99999
-1.62756,1166.67,2
-1.62752,1166.67,1.99999
-1.62749,1166.67,2
-1.62745,1166.67,1.99999
-1.62742,1166.67,2
-1.62738,1166.67,1.99999
-1.62734,1166.67,2
