P,V,T
2.08831,416.667,1.99999
2.08837,416.667,1.99999
2.08843,416.667,1.99999
2.08849,416.667,1.99999
2.08855,416.667,1.99999
2.08861,416.667,1.99999
2.08867,416.667,1.99999
2.08874,416.667,1.99999
2.0888,416.667,1.99999
2.08886,416.667,1.99999
2.08893,416.667,1.99999
2.08899,416.667,1.99999
2.08905,416.667,1.99999
2.08912,416.667,1.99999
2.08918,416.667,1.99999
2.08925,416.667,1.99999
2.08931,416.667,1.99999
2.08938,416.667,1.99999
2.08944,416.667,1.99999
2.08951,416.667,1.99999
2.08957,416.667,1.99999
2.08964,416.667,1.99999
2.0897,416.667,1.99999
2.08977,416.667,1.99999
2.08984,416.667,1.99999
2.0899,416.667,1.99999
2.08997,416.667,1.99999
2.09004,416.667,1.99999
2.0901,416.667,1.99999
2.09017,416.667,1.99999
2.09024,416.667,1.99999
2.09031,416.667,1.99999
2.09038,416.667,1.99999
2.09045,416.667,1.99999
2.09051,416.667,1.99999
2.09058,416.667,1.99999
2.09065,416.667,1.99999
2.09072,416.667,1.99999
2.09079,416.667,1.99999
2.09086,416.667,1.99999
2.09094,416.667,1.99999
2.09101,416.667,1.99999
2.09108,416.667,1.99999
2.09115,416.667,1.99998
2.09122,416.667,1.99998
2.09129,416.667,1.99998
2.09137,416.667,1.99999
2.09144,416.667,1.99998
2.09151,416.667,1.99999
2.09158,416.667,1.99998
2.09165,416.667,1.99998
2.09173,416.667,1.99998
2.0918,416.667,1.99998
2.09187,416.667,1.99999
2.09195,416.667,1.99998
2.09202,416.667,1.99998
2.0921,416.667,1.99998
2.09217,416.667,1.99998
2.09224,416.667,1.99998
2.09232,416.667,1.99998
2.0924,416.667,1.99998
2.09247,416.667,1.99998
2.09255,416.667,1.99998
2.09262,416.667,1.99998
2.0927,416.667,1.99998
2.09278,416.667,1.99998
2.09285,416.667,1.99998
2.09293,416.667,1.99998
2.09301,416.667,1.99998
2.09309,416.667,1.99998
2.09317,416.667,1.99998
2.09324,416.667,1.99998
2.09332,416.667,1.99998
2.0934,416.667,1.99998
2.09348,416.667,1.99998
2.09356,416.667,1.99998
2.09364,416.667,1.99998
2.09371,416.667,1.99998
2.09379,416.667,1.99998
2.09387,416.667,1.99998
2.09395,416.667,1.99998
2.09403,416.667,1.99998
2.09411,416.667,1.99998
2.09419,416.667,1.99998
2.09427,416.667,1.99998
2.09435,416.667,1.99998
2.09443,416.667,1.99998
2.09452,416.667,1.99998
2.0946,416.667,1.99998
2.09468,416.667,1.99998
2.09476,416.667,1.99998
2.09484,416.667,1.99998
2.09493,416.667,1.99998
2.09501,416.667,1.99998
2.09509,416.667,1.99998
2.09518,416.667,1.99998
2.09526,416.667,1.99998
2.09534,416.667,1.99998
2.09543,416.667,1.99998
2.09551,416.667,1.99998
2.0956,416.667,1.99998
2.09568,416.667,1.99998
2.09577,416.667,1.99998
2.09585,416.667,1.99998
2.09594,416.667,1.99998
2.09602,416.667,1.99998
2.09611,416.667,1.99998
2.09619,416.667,1.99998
2.09628,416.667,1.99998
2.09636,416.667,1.99998
2.09645,416.667,1.99998
2.09654,416.667,1.99998
2.09662,416.667,1.99998
2.09671,416.667,1.99998
2.0968,416.667,1.99998
2.09689,416.667,1.99998
2.09698,416.667,1.99998
2.09706,416.667,1.99998
2.09715,416.667,1.99998
2.09724,416.667,1.99998
2.09733,416.667,1.99998
2.09742,416.667,1.99998
2.09751,416.667,1.99998
2.0976,416.667,1.99998
2.09769,416.667,1.99998
2.09778,416.667,1.99998
2.09787,416.667,1.99998
2.09796,416.667,1.99998
2.09805,416.667,1.99998
2.09814,416.667,1.99998
2.09823,416.667,1.99998
2.09832,416.667,1.99998
2.09841,416.667,1.99998
2.09851,416.667,1.99998
2.0986,416.667,1.99998
2.09869,416.667,1.99998
2.09878,416.667,1.99998
2.09888,416.667,1.99998
2.09897,416.667,1.99998
2.09906,416.667,1.99998
2.09916,416.667,1.99998
2.09925,416.667,1.99998
2.09934,416.667,1.99998
2.09944,416.667,1.99998
2.09953,416.667,1.99998
2.09963,416.667,1.99998
2.09972,416.667,1.99998
2.09982,416.667,1.99998
2.09992,416.667,1.99998
2.10001,416.667,1.99998
2.10011,416.667,1.99998
2.10021,416.667,1.99998
2.1003,416.667,1.99998
2.1004,416.667,1.99998
2.1005,416.667,1.99998
2.1006,416.667,1.99998
2.1007,416.667,1.99998
2.1008,416.667,1.99998
2.10089,416.667,1.99998
2.10099,416.667,1.99998
2.10109,416.667,1.99998
2.10119,416.667,1.99998
2.10129,416.667,1.99998
2.10139,416.667,1.99998
2.10149,416.667,1.99998
2.1016,416.667,1.99998
2.1017,416.667,1.99998
2.1018,416.667,1.99998
2.1019,416.667,1.99998
2.102,416.667,1.99998
2.1021,416.667,1.99998
2.1022,416.667,1.99998
2.10231,416.667,1.99998
2.10241,416.667,1.99998
2.10251,416.667,1.99998
2.10262,416.667,1.99998
2.10272,416.667,1.99998
2.10282,416.667,1.99998
2.10293,416.667,1.99998
2.10303,416.667,1.99998
2.10314,416.667,1.99998
2.10324,416.667,1.99998
2.10335,416.667,1.99998
2.10346,416.667,1.99998
2.10356,416.667,1.99998
2.10367,416.667,1.99998
2.10377,416.667,1.99998
2.10388,416.667,1.99998
2.10399,416.667,1.99998
2.1041,416.667,1.99998
2.1042,416.667,1.99998
2.10431,416.667,1.99998
2.10442,416.667,1.99998
2.10453,416.667,1.99998
2.10464,416.667,1.99998
2.10475,416.667,1.99998
2.10486,416.667,1.99998
2.10497,416.667,1.99998
2.10508,416.667,1.99998
2.10519,416.667,1.99998
2.1053,416.667,1.99998
2.10541,416.667,1.99998
2.10552,416.667,1.99998
2.10564,416.667,1.99998
2.10575,416.667,1.99998
2.10586,416.667,1.99998
2.10597,416.667,1.99998
2.10608,416.667,1.99998
2.10619,416.667,1.99998
2.1063,416.667,1.99998
2.10641,416.667,1.99998
2.10652,416.667,1.99998
2.10663,416.667,1.99998
2.10675,416.667,1.99998
2.10686,416.667,1.99997
2.10697,416.667,1.99998
2.10709,416.667,1.99998
2.1072,416.667,1.99998
2.10731,416.667,1.99998
2.10742,416.667,1.99997
2.10754,416.667,1.99998
2.10765,416.667,1.99998
2.10777,416.667,1.99997
